,Portfolio,Weeks_until_Rebalance,Biweekly_Contribution,Worst_Year,Best_Year,Estimated_Annual_Return,Typical_Returns
231,"'FUSEX', 'ITE', 'WHOSX', 'USERX', 'GSP'",15.0,850.0,-10.66,16.59,8.08,-4.88 to 11.73
835,"'PREIX', 'HYG', 'VUSTX', 'SGGDX', 'GSP'",20.0,950.0,-19.09,23.85,8.08,-10.11 to 15.38
2067,"'PREIX', 'ITE', 'VUSTX', 'VGPMX', 'GSG'",6.0,1000.0,-12.97,17.09,8.08,-5.59 to 11.73
4404,"'VFINX', 'HYG', 'PRULX', 'SGGDX', 'GSP'",50.0,150.0,-19.01,23.09,8.07,-9.71 to 15.09
202,"'SWPPX', 'IEI', 'VUSTX', 'INIVX', 'GSG'",22.0,150.0,-11.65,17.54,8.07,-5.96 to 12.2
2551,"'VFINX', 'BIV', 'PRULX', 'SGGDX', 'DJP'",32.0,200.0,-12.29,17.82,8.07,-5.55 to 12.56
508,"'VFINX', 'HYG', 'PRULX', 'SGGDX', 'DJP'",40.0,350.0,-17.77,23.35,8.07,-9.06 to 15.18
3204,"'PREIX', 'HYG', 'WHOSX', 'OPGSX', 'GSP'",30.0,400.0,-19.95,24.58,8.07,-10.18 to 15.34
4795,"'PREIX', 'HYG', 'WHOSX', 'USERX', 'DBC'",32.0,400.0,-18.33,23.66,8.07,-8.51 to 15.57
2939,"'SWPPX', 'TIP', 'PRULX', 'USERX', 'GSP'",15.0,400.0,-14.8,20.36,8.07,-6.13 to 13.32
2201,"'FUSEX', 'IGIB', 'VUSTX', 'OPGSX', 'GSP'",6.0,450.0,-14.92,20.63,8.07,-7.06 to 13.01
1874,"'FUSEX', 'HYG', 'WHOSX', 'SGGDX', 'GSG'",17.0,500.0,-18.63,22.46,8.07,-9.76 to 14.3
1268,"'FUSEX', 'IGIB', 'VUSTX', 'VGPMX', 'GSG'",27.0,500.0,-14.97,19.68,8.07,-7.14 to 12.25
4179,"'FUSEX', 'ITE', 'VUSTX', 'INIVX', 'GSG'",8.0,500.0,-11.69,16.89,8.07,-5.98 to 11.87
1781,"'SWPPX', 'IGIB', 'WHOSX', 'VGPMX', 'DBC'",31.0,550.0,-13.78,19.49,8.07,-6.12 to 12.78
249,"'VIGRX', 'HYG', 'VUSTX', 'OPGSX', 'GSP'",48.0,600.0,-20.24,25.64,8.07,-9.88 to 15.63
2327,"'VIGRX', 'BIV', 'PRULX', 'VGPMX', 'DJP'",17.0,600.0,-14.6,19.95,8.07,-5.79 to 14.18
1879,"'VFINX', 'BIV', 'WHOSX', 'INIVX', 'DBC'",11.0,700.0,-12.79,18.19,8.07,-6.47 to 13.68
67,"'FUSEX', 'ITE', 'VUSTX', 'VGPMX', 'DBC'",20.0,700.0,-12.33,17.57,8.07,-5.88 to 12.46
1121,"'FUSEX', 'IGIB', 'VUSTX', 'SGGDX', 'GSP'",11.0,750.0,-13.68,18.81,8.07,-6.18 to 12.53
2933,"'PREIX', 'IGIB', 'PRULX', 'SGGDX', 'GSG'",35.0,750.0,-13.66,18.48,8.07,-5.76 to 12.19
2065,"'VFINX', 'ITE', 'WHOSX', 'VGPMX', 'DJP'",43.0,750.0,-11.1,16.37,8.07,-5.12 to 12.03
3962,"'SWPPX', 'TIP', 'PRULX', 'INIVX', 'GSP'",35.0,850.0,-15.48,19.85,8.07,-7.16 to 13.13
2127,"'SWPPX', 'IGIB', 'VUSTX', 'SGGDX', 'DBC'",3.0,850.0,-13.11,19.05,8.07,-5.35 to 13.02
3808,"'VIGRX', 'HYG', 'VUSTX', 'INIVX', 'DBC'",39.0,900.0,-19.08,25.22,8.07,-9.18 to 15.52
4458,"'PREIX', 'IPE', 'VUSTX', 'OPGSX', 'GSP'",33.0,900.0,-16.07,20.9,8.07,-6.9 to 14.69
3482,"'FUSEX', 'BIV', 'VUSTX', 'OPGSX', 'DJP'",46.0,900.0,-13.95,19.55,8.07,-6.0 to 13.18
4749,"'VIGRX', 'HYG', 'WHOSX', 'OPGSX', 'GSP'",41.0,950.0,-19.32,25.34,8.07,-9.78 to 14.5
1626,"'SWPPX', 'TIP', 'PRULX', 'OPGSX', 'GSP'",14.0,950.0,-15.18,20.82,8.07,-7.33 to 14.0
1547,"'SWPPX', 'IGIB', 'VUSTX', 'VGPMX', 'GSG'",44.0,1000.0,-15.34,20.65,8.07,-6.57 to 12.65
4951,"'PREIX', 'BIV', 'VUSTX', 'VGPMX', 'DBC'",16.0,100.0,-14.54,19.25,8.06,-6.25 to 14.04
1120,"'FUSEX', 'HYG', 'VUSTX', 'INIVX', 'DBC'",1.0,150.0,-19.45,24.67,8.06,-9.71 to 15.64
2102,"'FUSEX', 'IGIB', 'PRULX', 'SGGDX', 'GSG'",12.0,150.0,-13.47,18.21,8.06,-6.11 to 12.25
1243,"'VIGRX', 'IGIB', 'WHOSX', 'OPGSX', 'GSG'",33.0,200.0,-13.79,20.63,8.06,-5.45 to 14.14
827,"'FUSEX', 'BIV', 'VUSTX', 'VGPMX', 'DBC'",35.0,250.0,-15.14,19.36,8.06,-6.08 to 13.43
4787,"'SWPPX', 'BIV', 'PRULX', 'VGPMX', 'GSP'",15.0,350.0,-15.41,20.39,8.06,-6.83 to 13.42
4180,"'SWPPX', 'TIP', 'PRULX', 'USERX', 'GSG'",12.0,350.0,-14.81,19.61,8.06,-5.85 to 12.59
144,"'SWPPX', 'IGIB', 'VUSTX', 'OPGSX', 'DJP'",27.0,350.0,-14.16,19.79,8.06,-5.89 to 12.72
3479,"'FUSEX', 'IEI', 'VUSTX', 'OPGSX', 'GSG'",14.0,650.0,-12.32,16.97,8.06,-6.03 to 12.58
1483,"'PREIX', 'HYG', 'PRULX', 'OPGSX', 'GSP'",43.0,700.0,-19.89,25.22,8.06,-10.5 to 15.74
3132,"'VFINX', 'IGIB', 'VUSTX', 'OPGSX', 'DJP'",25.0,750.0,-13.94,19.91,8.06,-5.76 to 14.23
1862,"'FUSEX', 'IPE', 'WHOSX', 'USERX', 'DBC'",31.0,800.0,-13.25,19.59,8.06,-5.79 to 13.56
3986,"'VFINX', 'BIV', 'VUSTX', 'USERX', 'GSP'",51.0,800.0,-12.93,17.27,8.06,-5.33 to 12.76
1870,"'VFINX', 'BIV', 'WHOSX', 'SGGDX', 'GSP'",34.0,850.0,-12.22,18.33,8.06,-5.55 to 12.27
3365,"'VFINX', 'HYG', 'PRULX', 'SGGDX', 'GSP'",32.0,900.0,-19.35,23.83,8.06,-9.86 to 15.84
3848,"'SWPPX', 'BIV', 'PRULX', 'INIVX', 'GSP'",8.0,900.0,-13.27,19.08,8.06,-6.5 to 13.07
4933,"'FUSEX', 'BIV', 'VUSTX', 'OPGSX', 'GSP'",38.0,950.0,-14.2,19.69,8.06,-6.87 to 13.95
55,"'PREIX', 'IEI', 'WHOSX', 'OPGSX', 'DJP'",26.0,950.0,-10.47,16.8,8.06,-5.52 to 12.44
1294,"'VFINX', 'IPE', 'WHOSX', 'USERX', 'DJP'",24.0,1000.0,-13.6,18.55,8.06,-6.41 to 13.53
4694,"'VFINX', 'IEF', 'VUSTX', 'OPGSX', 'DBC'",44.0,1000.0,-11.51,18.05,8.06,-5.85 to 13.94
3007,"'PREIX', 'TIP', 'WHOSX', 'OPGSX', 'GSG'",11.0,100.0,-14.83,20.41,8.05,-6.72 to 13.27
1028,"'VIGRX', 'HYG', 'VUSTX', 'VGPMX', 'DJP'",12.0,150.0,-20.84,25.94,8.05,-9.18 to 15.97
3472,"'SWPPX', 'IEI', 'VUSTX', 'SGGDX', 'GSG'",32.0,150.0,-10.73,16.83,8.05,-5.06 to 11.79
1736,"'FUSEX', 'IEI', 'VUSTX', 'USERX', 'DJP'",1.0,200.0,-11.25,15.65,8.05,-4.36 to 12.09
4588,"'VFINX', 'IPE', 'VUSTX', 'INIVX', 'GSG'",46.0,250.0,-14.75,20.74,8.05,-6.69 to 14.84
1584,"'VFINX', 'BIV', 'PRULX', 'USERX', 'DJP'",5.0,250.0,-13.61,17.8,8.05,-5.75 to 13.13
3241,"'FUSEX', 'BIV', 'WHOSX', 'VGPMX', 'DBC'",7.0,300.0,-14.37,19.58,8.05,-6.38 to 13.44
666,"'FUSEX', 'IEI', 'PRULX', 'SGGDX', 'DJP'",12.0,300.0,-10.16,15.66,8.05,-5.14 to 11.05
3055,"'SWPPX', 'BIV', 'PRULX', 'VGPMX', 'DJP'",38.0,350.0,-14.54,19.03,8.05,-5.98 to 12.95
2337,"'FUSEX', 'BIV', 'WHOSX', 'SGGDX', 'GSP'",12.0,400.0,-12.6,18.2,8.05,-6.26 to 12.7
1378,"'FUSEX', 'IPE', 'WHOSX', 'SGGDX', 'DJP'",31.0,500.0,-13.08,19.2,8.05,-6.31 to 12.94
3536,"'VFINX', 'HYG', 'WHOSX', 'SGGDX', 'DBC'",44.0,550.0,-17.46,22.66,8.05,-8.77 to 15.19
74,"'FUSEX', 'TIP', 'VUSTX', 'OPGSX', 'DJP'",47.0,550.0,-14.84,20.7,8.05,-6.27 to 14.55
4653,"'FUSEX', 'ITE', 'WHOSX', 'VGPMX', 'GSP'",37.0,550.0,-12.21,16.52,8.05,-5.54 to 11.08
1286,"'SWPPX', 'TIP', 'WHOSX', 'INIVX', 'GSP'",40.0,600.0,-13.88,20.7,8.05,-6.89 to 14.12
2456,"'PREIX', 'ITE', 'VUSTX', 'VGPMX', 'DBC'",33.0,700.0,-12.7,17.45,8.05,-5.19 to 11.82
856,"'PREIX', 'IEF', 'VUSTX', 'VGPMX', 'DJP'",15.0,700.0,-12.27,18.56,8.05,-5.61 to 12.67
1242,"'VIGRX', 'HYG', 'PRULX', 'SGGDX', 'GSP'",22.0,750.0,-18.63,24.68,8.05,-9.14 to 15.3
3605,"'SWPPX', 'HYG', 'PRULX', 'SGGDX', 'DJP'",52.0,750.0,-18.46,22.53,8.05,-9.28 to 14.77
3118,"'VIGRX', 'HYG', 'PRULX', 'SGGDX', 'GSG'",34.0,850.0,-18.81,24.1,8.05,-8.65 to 15.51
591,"'VFINX', 'TIP', 'WHOSX', 'OPGSX', 'GSP'",4.0,900.0,-14.9,20.62,8.05,-6.96 to 13.48
3355,"'VFINX', 'TIP', 'VUSTX', 'USERX', 'GSG'",24.0,900.0,-14.55,19.9,8.05,-5.69 to 13.31
1459,"'SWPPX', 'IGIB', 'WHOSX', 'USERX', 'DBC'",13.0,900.0,-12.56,19.19,8.05,-5.1 to 12.92
2414,"'FUSEX', 'TIP', 'PRULX', 'INIVX', 'GSP'",15.0,950.0,-15.24,20.69,8.05,-7.48 to 13.92
3940,"'FUSEX', 'ITE', 'VUSTX', 'OPGSX', 'DJP'",45.0,950.0,-11.79,18.46,8.05,-5.33 to 13.48
819,"'VFINX', 'HYG', 'VUSTX', 'INIVX', 'GSP'",25.0,1000.0,-19.93,25.08,8.05,-10.25 to 16.48
1043,"'FUSEX', 'HYG', 'VUSTX', 'SGGDX', 'GSP'",52.0,100.0,-18.29,22.9,8.04,-9.0 to 14.85
1615,"'PREIX', 'IPE', 'VUSTX', 'USERX', 'DBC'",47.0,100.0,-14.02,19.68,8.04,-5.32 to 14.72
523,"'FUSEX', 'TIP', 'PRULX', 'USERX', 'GSG'",25.0,150.0,-14.4,19.39,8.04,-5.93 to 13.64
4307,"'VIGRX', 'HYG', 'VUSTX', 'OPGSX', 'DJP'",26.0,200.0,-18.99,25.37,8.04,-9.12 to 14.95
931,"'VIGRX', 'BIV', 'WHOSX', 'SGGDX', 'DJP'",23.0,250.0,-12.15,19.03,8.04,-7.16 to 12.52
2935,"'PREIX', 'IEF', 'VUSTX', 'VGPMX', 'GSP'",52.0,250.0,-11.72,15.7,8.04,-6.05 to 11.3
71,"'VIGRX', 'HYG', 'VUSTX', 'USERX', 'DBC'",22.0,300.0,-19.05,24.38,8.04,-7.97 to 15.24
2842,"'FUSEX', 'TIP', 'PRULX', 'VGPMX', 'GSG'",10.0,300.0,-16.14,21.06,8.04,-7.1 to 14.06
2132,"'PREIX', 'IGIB', 'VUSTX', 'OPGSX', 'GSG'",33.0,350.0,-15.05,20.03,8.04,-6.24 to 12.78
4259,"'SWPPX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",2.0,350.0,-12.26,17.83,8.04,-5.16 to 12.27
3721,"'PREIX', 'HYG', 'VUSTX', 'INIVX', 'GSG'",3.0,400.0,-20.24,24.73,8.04,-10.01 to 15.11
2043,"'SWPPX', 'HYG', 'WHOSX', 'USERX', 'GSG'",34.0,400.0,-18.9,23.41,8.04,-8.27 to 14.96
2709,"'VFINX', 'ITE', 'PRULX', 'SGGDX', 'DJP'",19.0,400.0,-10.4,14.86,8.04,-5.19 to 10.63
113,"'SWPPX', 'HYG', 'VUSTX', 'INIVX', 'GSG'",44.0,450.0,-19.89,24.91,8.04,-9.95 to 15.68
43,"'FUSEX', 'ITE', 'WHOSX', 'OPGSX', 'GSG'",32.0,450.0,-11.81,16.98,8.04,-5.73 to 12.95
850,"'VFINX', 'HYG', 'VUSTX', 'SGGDX', 'DBC'",25.0,500.0,-18.49,23.21,8.04,-9.46 to 15.82
271,"'VIGRX', 'HYG', 'PRULX', 'VGPMX', 'DJP'",29.0,550.0,-20.52,25.22,8.04,-9.4 to 16.02
4995,"'VFINX', 'ITE', 'PRULX', 'SGGDX', 'GSP'",33.0,550.0,-11.15,15.95,8.04,-5.07 to 11.02
1555,"'VIGRX', 'IPE', 'VUSTX', 'VGPMX', 'DBC'",30.0,600.0,-15.41,22.48,8.04,-5.93 to 14.77
1201,"'SWPPX', 'IEI', 'PRULX', 'SGGDX', 'GSG'",43.0,650.0,-10.4,16.7,8.04,-5.38 to 11.27
769,"'PREIX', 'HYG', 'PRULX', 'OPGSX', 'DJP'",45.0,800.0,-19.47,23.82,8.04,-9.71 to 14.41
4816,"'FUSEX', 'TIP', 'VUSTX', 'OPGSX', 'DJP'",28.0,800.0,-14.95,20.97,8.04,-6.55 to 14.47
4842,"'PREIX', 'BIV', 'VUSTX', 'VGPMX', 'DJP'",44.0,800.0,-14.37,20.02,8.04,-6.22 to 13.61
1182,"'VFINX', 'BIV', 'VUSTX', 'SGGDX', 'DJP'",36.0,800.0,-12.28,17.85,8.04,-5.75 to 12.88
697,"'FUSEX', 'ITE', 'WHOSX', 'VGPMX', 'DBC'",26.0,850.0,-11.09,16.01,8.04,-5.75 to 11.71
4789,"'SWPPX', 'HYG', 'WHOSX', 'INIVX', 'DBC'",37.0,900.0,-18.73,24.08,8.04,-9.45 to 16.14
3618,"'SWPPX', 'TIP', 'VUSTX', 'OPGSX', 'DJP'",43.0,900.0,-15.23,21.23,8.04,-7.28 to 14.79
3551,"'SWPPX', 'IEI', 'VUSTX', 'VGPMX', 'GSG'",12.0,900.0,-12.71,18.06,8.04,-5.69 to 12.23
4900,"'VFINX', 'TIP', 'WHOSX', 'VGPMX', 'GSP'",32.0,950.0,-15.06,20.94,8.04,-6.47 to 14.26
3448,"'VFINX', 'ITE', 'VUSTX', 'VGPMX', 'GSP'",33.0,950.0,-13.53,17.87,8.04,-5.73 to 11.68
3614,"'FUSEX', 'BIV', 'WHOSX', 'INIVX', 'GSG'",51.0,950.0,-12.73,18.09,8.04,-6.83 to 12.54
3640,"'SWPPX', 'BIV', 'PRULX', 'SGGDX', 'DJP'",19.0,950.0,-12.6,17.34,8.04,-6.23 to 12.5
2670,"'SWPPX', 'IGIB', 'VUSTX', 'SGGDX', 'GSG'",32.0,1000.0,-13.3,19.12,8.04,-5.74 to 12.74
3295,"'FUSEX', 'ITE', 'PRULX', 'SGGDX', 'DBC'",27.0,1000.0,-10.14,14.9,8.04,-5.16 to 11.03
4719,"'VFINX', 'IEF', 'PRULX', 'VGPMX', 'GSG'",16.0,100.0,-12.65,17.68,8.03,-5.71 to 11.96
1271,"'VFINX', 'HYG', 'WHOSX', 'USERX', 'GSG'",36.0,150.0,-18.63,23.02,8.03,-8.86 to 14.22
4803,"'FUSEX', 'IGIB', 'WHOSX', 'INIVX', 'DJP'",31.0,150.0,-13.09,19.21,8.03,-6.14 to 12.68
4593,"'VIGRX', 'HYG', 'PRULX', 'SGGDX', 'GSG'",41.0,250.0,-18.99,24.1,8.03,-9.03 to 15.07
753,"'SWPPX', 'BIV', 'VUSTX', 'USERX', 'GSP'",8.0,250.0,-13.87,18.71,8.03,-6.15 to 13.56
2821,"'FUSEX', 'HYG', 'PRULX', 'OPGSX', 'GSP'",9.0,300.0,-20.21,24.86,8.03,-10.09 to 15.69
3968,"'SWPPX', 'HYG', 'PRULX', 'INIVX', 'GSP'",20.0,300.0,-19.6,24.69,8.03,-10.7 to 15.85
1860,"'FUSEX', 'IEI', 'VUSTX', 'INIVX', 'GSG'",33.0,300.0,-11.72,17.44,8.03,-5.5 to 12.03
1320,"'PREIX', 'HYG', 'WHOSX', 'OPGSX', 'GSP'",48.0,350.0,-19.25,24.47,8.03,-9.98 to 15.58
858,"'FUSEX', 'TIP', 'VUSTX', 'SGGDX', 'GSP'",14.0,350.0,-14.77,19.64,8.03,-6.74 to 13.06
2287,"'VFINX', 'IEF', 'VUSTX', 'VGPMX', 'DJP'",15.0,400.0,-12.34,18.48,8.03,-5.65 to 12.65
1146,"'PREIX', 'IEI', 'WHOSX', 'USERX', 'GSG'",15.0,400.0,-10.08,16.12,8.03,-4.52 to 11.72
4875,"'FUSEX', 'IGIB', 'PRULX', 'VGPMX', 'GSP'",8.0,450.0,-16.09,20.55,8.03,-7.36 to 13.48
3443,"'VFINX', 'IGIB', 'PRULX', 'VGPMX', 'GSG'",31.0,450.0,-15.55,20.17,8.03,-6.09 to 13.17
4302,"'PREIX', 'BIV', 'WHOSX', 'VGPMX', 'GSG'",41.0,450.0,-13.72,19.25,8.03,-5.88 to 13.33
2998,"'FUSEX', 'BIV', 'PRULX', 'INIVX', 'DBC'",8.0,450.0,-13.09,19.06,8.03,-6.32 to 13.42
4071,"'PREIX', 'IPE', 'VUSTX', 'VGPMX', 'DJP'",32.0,500.0,-16.18,21.54,8.03,-5.86 to 15.34
4054,"'FUSEX', 'HYG', 'PRULX', 'USERX', 'DBC'",47.0,550.0,-18.65,23.88,8.03,-8.66 to 15.48
1682,"'PREIX', 'IPE', 'VUSTX', 'OPGSX', 'GSG'",38.0,550.0,-15.5,20.99,8.03,-6.89 to 14.05
4021,"'FUSEX', 'ITE', 'WHOSX', 'INIVX', 'DJP'",14.0,550.0,-11.19,16.85,8.03,-5.38 to 12.18
2538,"'SWPPX', 'TIP', 'PRULX', 'USERX', 'GSP'",5.0,600.0,-15.22,20.5,8.03,-6.1 to 13.34
4016,"'SWPPX', 'IGIB', 'WHOSX', 'OPGSX', 'GSP'",11.0,650.0,-14.31,19.87,8.03,-6.27 to 13.0
564,"'FUSEX', 'HYG', 'VUSTX', 'OPGSX', 'GSP'",14.0,700.0,-20.51,25.02,8.03,-10.98 to 15.35
4644,"'FUSEX', 'ITE', 'WHOSX', 'OPGSX', 'GSP'",29.0,700.0,-11.39,15.9,8.03,-6.24 to 11.67
3113,"'VIGRX', 'HYG', 'VUSTX', 'USERX', 'GSP'",31.0,750.0,-19.74,25.14,8.03,-8.3 to 15.37
1824,"'VFINX', 'HYG', 'VUSTX', 'SGGDX', 'GSP'",1.0,750.0,-19.4,23.38,8.03,-10.22 to 15.09
1064,"'FUSEX', 'TIP', 'PRULX', 'OPGSX', 'GSP'",14.0,800.0,-15.15,20.74,8.03,-7.49 to 13.79
3580,"'FUSEX', 'IGIB', 'VUSTX', 'VGPMX', 'DBC'",18.0,800.0,-14.76,19.19,8.03,-6.38 to 12.77
1563,"'VIGRX', 'HYG', 'VUSTX', 'OPGSX', 'DBC'",40.0,850.0,-19.23,25.98,8.03,-8.93 to 16.52
1969,"'SWPPX', 'TIP', 'WHOSX', 'VGPMX', 'DJP'",14.0,850.0,-15.29,20.62,8.03,-6.47 to 13.43
743,"'SWPPX', 'HYG', 'VUSTX', 'OPGSX', 'DBC'",3.0,900.0,-20.04,25.25,8.03,-9.59 to 15.56
4631,"'SWPPX', 'HYG', 'WHOSX', 'SGGDX', 'DJP'",39.0,900.0,-17.64,22.41,8.03,-8.94 to 14.52
2301,"'FUSEX', 'BIV', 'PRULX', 'VGPMX', 'GSG'",6.0,900.0,-15.16,19.72,8.03,-6.22 to 13.69
3205,"'PREIX', 'IGIB', 'PRULX', 'VGPMX', 'DJP'",29.0,900.0,-14.97,19.87,8.03,-6.45 to 13.43
4815,"'FUSEX', 'BIV', 'VUSTX', 'VGPMX', 'GSG'",30.0,950.0,-15.03,20.39,8.03,-6.77 to 13.1
2399,"'VFINX', 'ITE', 'WHOSX', 'VGPMX', 'DJP'",36.0,950.0,-11.65,16.51,8.03,-5.6 to 11.18
2928,"'FUSEX', 'IGIB', 'PRULX', 'USERX', 'GSG'",45.0,1000.0,-13.64,19.68,8.03,-5.26 to 12.9
4029,"'PREIX', 'HYG', 'PRULX', 'USERX', 'GSP'",27.0,150.0,-19.39,23.28,8.02,-10.0 to 14.59
3664,"'FUSEX', 'HYG', 'WHOSX', 'OPGSX', 'GSG'",18.0,150.0,-18.24,23.87,8.02,-9.52 to 14.4
1716,"'PREIX', 'BIV', 'WHOSX', 'INIVX', 'GSG'",34.0,150.0,-13.36,18.59,8.02,-5.82 to 13.67
1725,"'VIGRX', 'HYG', 'PRULX', 'OPGSX', 'GSG'",31.0,200.0,-20.36,25.8,8.02,-9.88 to 15.44
605,"'FUSEX', 'IPE', 'PRULX', 'USERX', 'GSP'",14.0,200.0,-14.98,19.46,8.02,-6.14 to 12.99
4595,"'SWPPX', 'IGIB', 'VUSTX', 'VGPMX', 'GSP'",20.0,300.0,-15.53,20.62,8.02,-7.02 to 13.62
4471,"'VIGRX', 'IGIB', 'PRULX', 'VGPMX', 'GSP'",16.0,300.0,-14.83,20.82,8.02,-6.23 to 14.33
3979,"'FUSEX', 'IEI', 'WHOSX', 'USERX', 'GSG'",19.0,300.0,-10.47,15.87,8.02,-4.07 to 11.14
1058,"'VFINX', 'IEI', 'PRULX', 'VGPMX', 'DJP'",51.0,400.0,-11.39,16.7,8.02,-4.72 to 11.67
4249,"'SWPPX', 'ITE', 'VUSTX', 'OPGSX', 'DJP'",4.0,500.0,-11.84,17.3,8.02,-5.73 to 12.89
4067,"'VIGRX', 'ITE', 'PRULX', 'VGPMX', 'GSP'",52.0,650.0,-11.35,17.25,8.02,-5.34 to 12.18
3797,"'FUSEX', 'HYG', 'PRULX', 'SGGDX', 'DBC'",44.0,700.0,-17.94,23.63,8.02,-9.34 to 15.62
2857,"'SWPPX', 'BIV', 'WHOSX', 'VGPMX', 'DBC'",14.0,800.0,-13.87,19.7,8.02,-6.02 to 13.44
3310,"'PREIX', 'HYG', 'VUSTX', 'USERX', 'DJP'",9.0,850.0,-18.76,23.33,8.02,-8.87 to 14.42
4368,"'FUSEX', 'IPE', 'WHOSX', 'VGPMX', 'GSP'",13.0,850.0,-15.87,21.35,8.02,-7.51 to 14.34
2107,"'PREIX', 'IGIB', 'VUSTX', 'INIVX', 'GSP'",24.0,850.0,-13.86,19.58,8.02,-6.95 to 13.02
3122,"'PREIX', 'BIV', 'VUSTX', 'INIVX', 'GSP'",34.0,100.0,-14.35,19.25,8.01,-6.52 to 13.99
3847,"'VFINX', 'ITE', 'WHOSX', 'VGPMX', 'DJP'",5.0,100.0,-12.46,17.57,8.01,-5.1 to 11.69
1178,"'SWPPX', 'HYG', 'PRULX', 'INIVX', 'DBC'",36.0,200.0,-17.61,23.61,8.01,-9.48 to 15.3
2720,"'SWPPX', 'BIV', 'WHOSX', 'USERX', 'GSP'",12.0,250.0,-12.88,18.38,8.01,-6.02 to 13.45
245,"'FUSEX', 'IEI', 'VUSTX', 'VGPMX', 'GSP'",29.0,250.0,-12.45,16.84,8.01,-6.24 to 11.92
4143,"'PREIX', 'IEF', 'VUSTX', 'INIVX', 'GSG'",4.0,250.0,-11.97,17.97,8.01,-5.91 to 12.66
3212,"'VFINX', 'IPE', 'PRULX', 'OPGSX', 'DBC'",47.0,300.0,-14.58,21.13,8.01,-5.99 to 14.72
1635,"'SWPPX', 'IPE', 'PRULX', 'OPGSX', 'GSP'",38.0,350.0,-15.81,20.48,8.01,-7.47 to 13.66
1238,"'SWPPX', 'ITE', 'VUSTX', 'OPGSX', 'DJP'",31.0,350.0,-12.1,17.31,8.01,-5.6 to 13.17
3883,"'VFINX', 'IPE', 'PRULX', 'INIVX', 'GSG'",38.0,450.0,-15.16,19.46,8.01,-6.9 to 13.18
940,"'PREIX', 'IEI', 'VUSTX', 'VGPMX', 'GSG'",41.0,500.0,-11.92,17.97,8.01,-5.26 to 11.94
4605,"'SWPPX', 'HYG', 'WHOSX', 'OPGSX', 'GSP'",22.0,550.0,-19.83,24.51,8.01,-10.36 to 14.36
2480,"'PREIX', 'HYG', 'WHOSX', 'SGGDX', 'GSP'",3.0,550.0,-18.75,23.12,8.01,-9.88 to 14.63
3770,"'PREIX', 'HYG', 'WHOSX', 'SGGDX', 'GSP'",37.0,600.0,-17.82,23.07,8.01,-9.08 to 15.09
1576,"'VFINX', 'BIV', 'PRULX', 'INIVX', 'DJP'",52.0,750.0,-13.2,17.96,8.01,-6.09 to 12.65
2534,"'PREIX', 'ITE', 'PRULX', 'OPGSX', 'DJP'",16.0,750.0,-11.82,17.12,8.01,-5.58 to 12.4
1853,"'VIGRX', 'HYG', 'WHOSX', 'VGPMX', 'GSG'",42.0,850.0,-19.86,25.68,8.01,-10.38 to 14.33
3565,"'PREIX', 'HYG', 'PRULX', 'SGGDX', 'GSP'",43.0,900.0,-19.1,23.95,8.01,-10.04 to 15.7
2734,"'VFINX', 'IGIB', 'WHOSX', 'INIVX', 'GSG'",19.0,900.0,-12.74,19.15,8.01,-5.94 to 13.19
4799,"'SWPPX', 'IGIB', 'PRULX', 'OPGSX', 'GSG'",47.0,1000.0,-13.67,20.05,8.01,-5.83 to 12.5
274,"'FUSEX', 'IEI', 'VUSTX', 'VGPMX', 'GSP'",32.0,1000.0,-12.76,18.53,8.01,-6.07 to 12.9
2177,"'FUSEX', 'HYG', 'WHOSX', 'VGPMX', 'GSG'",24.0,100.0,-20.48,24.63,8.0,-10.45 to 15.9
514,"'FUSEX', 'HYG', 'PRULX', 'SGGDX', 'DBC'",4.0,100.0,-18.59,23.34,8.0,-9.48 to 15.72
13,"'VFINX', 'HYG', 'VUSTX', 'USERX', 'DJP'",49.0,150.0,-19.22,23.58,8.0,-9.11 to 14.63
3755,"'SWPPX', 'ITE', 'PRULX', 'USERX', 'GSG'",14.0,150.0,-11.51,15.34,8.0,-4.82 to 10.99
3108,"'VFINX', 'BIV', 'VUSTX', 'OPGSX', 'GSG'",1.0,200.0,-14.1,20.02,8.0,-6.25 to 14.26
1003,"'VIGRX', 'IGIB', 'WHOSX', 'SGGDX', 'DJP'",16.0,200.0,-11.94,19.08,8.0,-4.88 to 12.91
2896,"'SWPPX', 'HYG', 'VUSTX', 'OPGSX', 'DBC'",2.0,250.0,-20.01,25.02,8.0,-9.5 to 15.52
4857,"'SWPPX', 'IPE', 'PRULX', 'OPGSX', 'DBC'",41.0,350.0,-14.89,20.76,8.0,-6.53 to 14.35
986,"'VFINX', 'IGIB', 'PRULX', 'VGPMX', 'GSP'",17.0,400.0,-15.86,20.45,8.0,-7.21 to 13.22
4782,"'PREIX', 'TIP', 'VUSTX', 'INIVX', 'GSG'",5.0,400.0,-15.6,20.59,8.0,-7.0 to 13.51
979,"'SWPPX', 'IGIB', 'PRULX', 'VGPMX', 'DBC'",20.0,550.0,-14.92,20.21,8.0,-6.74 to 13.61
1055,"'PREIX', 'IGIB', 'WHOSX', 'OPGSX', 'GSG'",51.0,550.0,-13.0,18.6,8.0,-6.07 to 12.78
